			CSNAME.TXT

This file contains all unique control sequences used by TeX and the
pricipal macro packages in use at AMS:
		Plain:    primitives; plain.tex
\mlineht@		amstex.tex
\mltagbox@		amstex.tex
\mlwidth@		amstex.tex
\mod			amstex.tex
\models			plain.tex
\month			*primitive
\moreref		amsppt.sty
\moveleft		*primitive
\moveright		*primitive
\mp			plain.tex
\mrwidth@		amstex.tex
\mscount		plain.tex
\mskip			*primitive
\msx@			amstex.tex
\msxfam 		amstex.tex
\msy@			amstex.tex
\msyfam 		amstex.tex
\mtagbox@		amstex.tex
\mu			plain.tex
\MultC@ltrue		multcol.out
\multilimits@		amstex.tex
\multint@		amstex.tex
\multintlimits@ 	amstex.tex
\multiply		*primitive
\multispan		plain.tex
\multispan@		amstex.tex
\multline		amstex.tex
\multline@		amstex.tex
\multlinegap		amstex.tex
\MultlineGap		amstex.tex
\multlinegap@		amstex.tex
\multlinetaggap@	amstex.tex
\muskip			*primitive
\muskipdef		*primitive
\mwidth@		amstex.tex
\n@space		plain.tex
\nabla			plain.tex
\narrower		plain.tex
\natural		plain.tex
\ne			plain.tex
\nearrow		plain.tex
\neg			plain.tex
\negintic@		amstex.tex
\negmedspace		amstex.tex
\negthickspace		amstex.tex
\negthinspace		plain.tex
\neq			plain.tex
\newbox			plain.tex
\newbox@		amstex.tex
\newcodes@		amstex.tex
\newcount		plain.tex
\newdimen		plain.tex
\newfam			plain.tex
\newhelp		plain.tex
\newif			plain.tex
\newinsert		plain.tex
\newline		amstex.tex
\newlinechar		*primitive
\newmuskip		plain.tex
\newread		plain.tex
\newskip		plain.tex
\newtoks		plain.tex
\newtoks@		amstex.tex
\newwrite		plain.tex
\next			plain.tex
\next@			amstex.tex
\nextii@		amstex.tex
\nextiii@		amstex.tex
\nextiv@		amstex.tex
\nextix@		amstex.tex
\nextRunin@		amsppt.sty
\nextRunin@false	amsppt.sty
\nextv@			amstex.tex
\nextvi@		amstex.tex
\nextvii@		amstex.tex
\nextviii@		amstex.tex
\ni			plain.tex
\ninebf			amsppt.sty
\ninei			amsppt.sty
\nineit			amsppt.sty
\ninerm 		amsppt.sty
\ninesl 		amsppt.sty
\ninesy 		amsppt.sty
\nlimits@		amstex.tex
\no			amsppt.sty
\no@false		amsppt.sty
\noaccents@		amstex.tex
\noalign		*primitive
\NoBlackBoxes		amstex.tex
\nobox@ 		amsppt.sty
\nobreak		plain.tex
\noexpand		*primitive
\nofrills		amsppt.sty
\nofrills@		amsppt.sty
\nofrills@false		amsppt.sty
\nofrills@true		amsppt.sty
\noguidelines		amsppt.sty
\noindent		*primitive
\nointerlineskip	plain.tex
\nojourinfo@false	amsppt.sty
\nojourinfo@true	amsppt.sty
\nolimits		*primitive
\NoLimitsOnInts		amstex.tex
\NoLimitsOnNames	amstex.tex
\NoLimitsOnSums		amstex.tex
\nolinebreak		amstex.tex
\nologo			amsppt.sty
\nomathbreak		amstex.tex
\nomultlinegap		amstex.tex
\nondmatherr@		amstex.tex
\nonfrenchspacing	plain.tex
\nonmatherr@		amstex.tex
\nonscript		*primitive
\nonstopmode		*primitive
\nonvmodeerr@		amstex.tex
\nopagebreak		amstex.tex
\nopagenumbers		plain.tex
\nopages@		amstex.tex
\normalbaselines	plain.tex
\normalbaselineskip	plain.tex
\normalbottom		plain.tex
\normallineskip		plain.tex
\normallineskiplimit	plain.tex
\not			plain.tex
\not@			amstex.tex
\not@false		amstex.tex
\not@true		amstex.tex
\notin			plain.tex
\nu			plain.tex
\null			plain.tex
\nulldelimiterspace	*primitive
\number			*primitive
\nwarrow		plain.tex
\o			plain.tex
\O			plain.tex
\oalign			plain.tex
\obeylines		plain.tex
\obeyspaces		plain.tex
\odot			plain.tex
\oe			plain.tex
\OE			plain.tex
\of			plain.tex
\offinterlineskip	plain.tex
\oint			plain.tex
\ointop			plain.tex
\oldcodes@		amstex.tex
\oldnos 		amstex.tex
\oldstyle		plain.tex (undefined in amstex.tex)
\omega			plain.tex
\Omega			plain.tex
\ominus			plain.tex
\omit			*primitive
\onecr@false		amstex.tex
\onecr@true		amstex.tex
\onlydmatherr@		amstex.tex
\ooalign		plain.tex
\openin			*primitive
\openout		*primitive
\openup			plain.tex
\operatorname		amstex.tex
\operatornamewithlimits	amstex.tex
\oplus			plain.tex
\or			*primitive
\oslash			plain.tex
\otimes			plain.tex
\outer			*primitive
\output			*primitive
\output@		amsppt.sty
\outputpenalty		*primitive
\outsplit@		amstex.tex
\over			*primitive
\overarrow		amstex.tex
\overbrace		plain.tex
\overfullrule		*primitive
\overleftarrow		plain.tex
\overleftarrow@ 	amstex.tex
\overleftrightarrow	amstex.tex
\overleftrightarrow@	amstex.tex
\overline		*primitive
\overline@		amstex.tex
\overlong		amsppt.sty
\overlong@		amsppt.sty
\overrightarrow		plain.tex
\overrightarrow@	amstex.tex
\overset		amstex.tex
\oversetbrace		amstex.tex
\overwithdelims		*primitive
\owns			plain.tex
\P			plain.tex
\p@			plain.tex
\P@			amstex.tex
\p@gefalse		plain.tex
\p@getrue		plain.tex
\p@renwd		plain.tex
\page			amsppt.sty
\page@false		amsppt.sty
\page@true		amsppt.sty
\pagebody		plain.tex
\pagebreak		amstex.tex
\pagecontents		plain.tex
\pagedepth		*primitive
\pagefilllstretch	*primitive
\pagefillstretch	*primitive
\pagefilstretch		*primitive
\pagegoal		*primitive
\pageheight		amstex.tex
\pageinsert		plain.tex
\pageno			plain.tex
\pages			amsppt.sty
\pages@false		amsppt.sty
\pagesbox@		amsppt.sty
\pageshrink		*primitive
\pagestretch		*primitive
\pagetotal		*primitive
\pagewidth		amstex.tex
\paper			amsppt.sty
\paper@false		amsppt.sty
\paperbox@		amsppt.sty
\paperinfo		amsppt.sty
\paperinfo@false	amsppt.sty
\paperinfobox@		amsppt.sty
\par			*primitive
\par@			amsppt.sty
\parallel		plain.tex
\parfillskip		*primitive
\parindent		*primitive
\parshape		*primitive
\parskip		*primitive
\partial		plain.tex
\patterns		*primitive
\pausing		*primitive
\penalty		*primitive
\penalty@		amsppt.sty
\perp			plain.tex
\ph@nt			plain.tex
\phantom		plain.tex
\phi			plain.tex
\Phi			plain.tex
\pi			plain.tex
\Pi			plain.tex
\plaincdots@		amstex.tex
\plainfootnote		amstex.tex (undefined)
\plainitem@		amsppt.sty
\plainldots@		amstex.tex
\plainoutput		plain.tex
\plainproclaim		amstex.tex
\plainroot@		amstex.tex
\pm			plain.tex
\pmatrix		plain.tex
\pmb			amstex.tex
\pmb@			amstex.tex
\pmb@@			amstex.tex
\pmbraise@		amstex.tex
\pmod			plain.tex
\pod			amstex.tex
\pointcount@		amstex.tex
\pointsize@		amsppt.sty
\postdisplaypenalty	*primitive
\ppunbox@		amsppt.sty
\Pr			plain.tex
\pr@@@s			plain.tex
\pr@@@t			plain.tex
\pr@m@s			plain.tex
\preabstract		amsppt.sty
\preaffil		amsppt.sty
\preamble@		amstex.tex
\Preamble@		amstex.tex
\preamble@@		amstex.tex
\preauthor		amsppt.sty
\prec			plain.tex
\preceq			plain.tex
\predate		amsppt.sty
\predefine		amstex.tex
\predisplaypenalty	*primitive
\predisplaysize		*primitive
\preloaded		plain.tex
\preloaded@		amstex.tex
\prepaper		amsppt.sty
\prepunct@		amsppt.sty
\pretend		amstex.tex
\pretitle		amsppt.sty
\pretolerance		*primitive
\prevdepth		*primitive
\prevgraf		*primitive
\previnbook@false	amsppt.sty
\previnbook@true	amsppt.sty
\prevjour@false		amsppt.sty
\prevjour@true		amsppt.sty
\prim@s			plain.tex
\prime			plain.tex
\prime@ 		amstex.tex
\printoptions		amstex.tex
\proclaim		plain.tex (undefined in amstex.tex)
\proclaim		 (redefined in amsppt.sty)
\proclaim@		amsppt.sty
\proclaim@false 	amsppt.sty
\proclaim@true		amsppt.sty
\prod			plain.tex
\prod@			amstex.tex
\projlim		amstex.tex
\propto			plain.tex
\psi			plain.tex
\Psi			plain.tex
\publ			amsppt.sty
\publ@false		amsppt.sty
\publaddr		amsppt.sty
\publaddr@false		amsppt.sty
\publaddrbox@		amsppt.sty
\publbox@		amsppt.sty
\qed			amsppt.sty
\qopname@		amstex.tex
\qopnamewl@		amstex.tex
\qquad			plain.tex
\quad			plain.tex
\r			amstex.tex
\r@@t			plain.tex (modified by amstex.tex)
\r@ggedbottomfalse	plain.tex
\r@ggedbottomtrue	plain.tex
\radical		*primitive
\raggedbottom		plain.tex
\raggedright		plain.tex
\raise			*primitive
\ralign@		amstex.tex
\rangle			plain.tex
\rbrace			plain.tex
\rbrace@		amstex.tex
\rbrack			plain.tex
\rceil			plain.tex
\rcfrac			amstex.tex
\rdelim@		amstex.tex
\Re			plain.tex
\read			*primitive
\redefine		amstex.tex
\ref			amsppt.sty
\ref@			amsppt.sty
\refdef@		amsppt.sty
\Refs			amsppt.sty
\refskip@		amstex.tex
\relax			*primitive
\relaxnext@		amstex.tex
\relbar			plain.tex
\Relbar			plain.tex
\relpenalty		*primitive
\removelastskip		plain.tex
\rendmultline@		amstex.tex
\rendsplit@		amstex.tex
\repeat			plain.tex
\ResetBuffer		amstex.tex
\retry@AmSfalse		amstex.tex
\retry@AmStrue		amstex.tex
\rfloor			plain.tex
\rgather@		amstex.tex
\rgroup			plain.tex
\rho			plain.tex
\rhook			plain.tex
\right			*primitive
\rightappend@		amstex.tex
\rightarrow		plain.tex
\Rightarrow		plain.tex
\rightarrowfill		plain.tex
\rightdelim@		amstex.tex
\rightdelim@false	amstex.tex
\rightdelim@true	amstex.tex
\rightharpoondown	plain.tex
\rightharpoonup		plain.tex
\rightleftharpoons	plain.tex
\rightline		plain.tex
\rightskip		*primitive
\rlap			plain.tex
\rlap@			amstex.tex
\rlh@			plain.tex
\rm			plain.tex
\rmfam			amstex.tex
\rmmeasure@		amstex.tex	
\rmoustache		plain.tex
\rmultline@		amstex.tex
\rmultline@@		amstex.tex
\rmultline@@@		amstex.tex
\rom@			amstex.tex
\rom@@			amstex.tex
\roman			amstex.tex
\roman@			amstex.tex
\roman@@		amstex.tex
\romannumeral		*primitive
\root			plain.tex
\rootbox		plain.tex
\roster			amsppt.sty
\rostercount@		amsppt.sty
\rosterhangafter@	amsppt.sty
\rosteritem@		amsppt.sty
\rq			plain.tex
\rtwidth@		amstex.tex
\runinitem		amsppt.sty
\Runinitem		amsppt.sty
\runinitem@		amsppt.sty
\rwidth@		amstex.tex
\S			plain.tex
\S@			amstex.tex
\s@tcols		plain.tex
\s@tt@b			plain.tex
\savealignat@		amstex.tex
\saveskip@		amstex.tex
\sb			plain.tex
\Sb			amstex.tex
\scriptfont		*primitive
\scriptscriptfont	*primitive
\scriptscriptstyle	*primitive
\scriptspace		*primitive
\scriptstyle		*primitive
\scrollmode		*primitive
\searrow		plain.tex
\sec			plain.tex
\setbox			*primitive
\setminus		plain.tex
\setpunct@		amsppt.sty
\sett@b			plain.tex
\settabs		plain.tex
\sevenbf		plain.tex
\seveni			plain.tex
\sevenmsx		amstex.tex (depends on font availability)
\sevenmsy		amstex.tex (depends on font availability)
\sevenrm		plain.tex
\sevensy		plain.tex
\sfcode			*primitive
\sharp			plain.tex
\shave			amstex.tex
\shipout		*primitive
\shoveleft		amstex.tex
\shoveright		amstex.tex
\show			*primitive
\showallocations	amstex.tex
\showbox		*primitive
\showboxbreadth		*primitive
\showboxdepth		*primitive
\showhyphens		plain.tex
\showlists		*primitive
\showthe		*primitive
\sideset		amstex.tex
\sigma			plain.tex
\Sigma			plain.tex
\sim			plain.tex
\simeq			plain.tex
\sin			plain.tex
\sinh			plain.tex
\sixbf			amsppt.sty
\sixi			amsppt.sty
\sixrm			amsppt.sty
\sixsy			amsppt.sty
\sixt@@n		plain.tex
\skew			plain.tex
\skewchar		*primitive
\skewcharcount@		amstex.tex
\skip			*primitive
\skip@			plain.tex
\skipdef		*primitive
\sl			plain.tex
\slanted		amstex.tex
\slanted@		amstex.tex
\slanted@@		amstex.tex
\slash			plain.tex
\sldl@			amstex.tex
\slfam			plain.tex
\slimits@		amstex.tex
\smallbreak		plain.tex
\smallcaptionwidth@	amstex.tex
\smallint		plain.tex
\smallmatrix		amstex.tex
\smallpagebreak		amstex.tex
\smallskip		plain.tex
\smallskipamount	plain.tex
\smash			plain.tex (redefined in amstex.tex)
\smash@			amstex.tex
\smc			amstex.tex  % amsppt.sty
\smile			plain.tex
\snug			amstex.tex
\sp			plain.tex
\Sp			amstex.tex
\sp@n			plain.tex
\space			plain.tex
\space@ 		amstex.tex
\spacefactor		*primitive
\spacehdots		amstex.tex
\spaceinnerdots		amstex.tex
\spaces@		amstex.tex
\spaces@@		amstex.tex
\spaceskip		*primitive
\spacute		amstex.tex
\spadesuit		plain.tex
\span			*primitive
\spbar			amstex.tex
\spbreve		amstex.tex
\spcheck		amstex.tex
\spddddot		amstex.tex
\spdddot		amstex.tex
\spddot			amstex.tex
\spdot			amstex.tex
\special		*primitive
\spgrave		amstex.tex
\sphat			amstex.tex
\split			amstex.tex
\split@			amstex.tex
\splitbotmark		*primitive
\splitfirstmark		*primitive
\splitmaxdepth		*primitive
\splittopskip		*primitive
\spreadlines		amstex.tex
\spreadmatrixlines	amstex.tex
\spreadmlines@		amstex.tex
\sptilde		amstex.tex
\spvec			amstex.tex
\sqcap			plain.tex
\sqcup			plain.tex
\sqrt			plain.tex
\sqsupseteq		plain.tex
\srdr@			amstex.tex
\ss			plain.tex
\ssize			amstex.tex
\sssize			amstex.tex
\star			plain.tex
\string			*primitive
\string@		amstex.tex
\strip@ 		amstex.tex
\strut			plain.tex
\strut@			amstex.tex
\strutbox		plain.tex
\strutbox@		amstex.tex
\styname		amsppt.sty
\styversion		amsppt.sty
\subheading		amsppt.sty
\subheading@		amsppt.sty
\subjclass		amsppt.sty
\subjclass@		amsppt.sty
\subset			plain.tex
\subseteq		plain.tex
\succ			plain.tex
\succeq			plain.tex
\sum			plain.tex
\sum@			amstex.tex
\sup			plain.tex
\supereject		plain.tex
\supset			plain.tex
\supseteq		plain.tex
\surd			plain.tex
\swarrow		plain.tex
\syntax			amstex.tex
\syntax@true		amstex.tex
\t			plain.tex
\t@bb@x			plain.tex
\t@bbox			plain.tex
\tabalign		plain.tex
\tabs			plain.tex
\tabsdone		plain.tex
\tabskip		*primitive
\tabsyet		plain.tex
\tag			amstex.tex
\tagform@		amstex.tex
\tagin@ 		amstex.tex
\tagin@false		amstex.tex
\tagin@true		amstex.tex
\TagsAsMath		amstex.tex
\TagsAsText		amstex.tex
\tagsleft@false		amstex.tex
\tagsleft@true		amstex.tex
\TagsOnLeft		amstex.tex
\TagsOnRight		amstex.tex
\tan			plain.tex
\tanh			plain.tex
\tau			plain.tex
\tbinom			amstex.tex
\tdots@ 		amstex.tex
\tenbf			plain.tex
\tenbig@		amsppt.sty
\tenex			plain.tex
\teni			plain.tex
\tenit			plain.tex
\tenmsx 		amstex.tex (depends on font availability)
\tenmsy 		amstex.tex (depends on font availability)
\tenpoint		amsppt.sty
\tenrm			plain.tex
\tensl			plain.tex
\tensmc			amsppt.sty
\tensy			plain.tex
\tentt			plain.tex
\TeX			plain.tex
\text			amstex.tex
\text@			amstex.tex
\text@@			amstex.tex
\textdef@		amstex.tex
\textdef@@		amstex.tex
\textfont		*primitive
\textfont@		amstex.tex
\textfonti		amstex.tex
\textfontii		amstex.tex
\textindent		plain.tex
\textstyle		*primitive
\tfrac			amstex.tex
\thanks			amsppt.sty
\thanks@		amsppt.sty
\thanks@true		amsppt.sty
\the			*primitive
\theabstract@		amsppt.sty
\thecaption@		amstex.tex
\thedots@		amstex.tex
\thefam@		amstex.tex
\thefootnotemark	amsppt.sty
\thekeywords@		amsppt.sty
\therosteritem		amsppt.sty
\theskewchar@		amstex.tex
\thespace@		amstex.tex
\thesubjclass@		amsppt.sty
\theta			plain.tex
\Theta			plain.tex
\thetag			amstex.tex
\thickfrac		amstex.tex
\thickfracwithdelims	amstex.tex
\thickmuskip		*primitive
\thickness		amstex.tex
\thickspace		amstex.tex
\thinmuskip		*primitive
\thinspace		plain.tex
\thr@@			plain.tex
\tie			amstex.tex
\tilde			plain.tex
\Tilde			amstex.tex
\tildeaccent		amstex.tex
\time			*primitive
\times			plain.tex
\title			amsppt.sty
\titlebox@		amsppt.sty
\to			plain.tex
\toappear		amsppt.sty
\toappear@false		amsppt.sty
\toappear@true		amsppt.sty
\toks			*primitive
\toks@			plain.tex
\toks@@			amstex.tex
\toksdef		*primitive
\tolerance		*primitive
\top			plain.tex
\top@false		amstex.tex
\top@true		amstex.tex
\topaligned		amstex.tex
\topfolded@false	amstex.tex
\topfolded@true		amstex.tex
\topfoldedtext		amstex.tex
\topins			plain.tex
\topinsert		plain.tex
\topmark		*primitive
\topmatter		amsppt.sty
\TopOrBottomTagsOnSplits	amstex.tex
\topshave		amstex.tex
\topskip		*primitive
\topsmash		amstex.tex
\topspace		amstex.tex
\totwidth@		amstex.tex
\tracingall		plain.tex
\tracingcommands	*primitive
\tracinglostchars	*primitive
\tracingmacros		*primitive
\tracingonline		*primitive
\tracingoutput		*primitive
\tracingpages		*primitive
\tracingparagraphs	*primitive
\tracingrestores	*primitive
\tracingstats		*primitive
\triangle		plain.tex
\triangleleft		plain.tex
\triangleright		plain.tex
\tsize			amstex.tex
\tt			plain.tex
\ttfam			plain.tex
\ttraggedright		plain.tex
\tw@			plain.tex
\u			plain.tex
\uccode			*primitive
\uchyph			*primitive
\unbracefonts@		amstex.tex
\undefined		plain.tex
\undefined@		amstex.tex
\underarrow		amstex.tex
\underbar		plain.tex
\underbrace		plain.tex
\underleftarrow		amstex.tex
\underleftarrow@	amstex.tex
\underleftrightarrow	amstex.tex
\underleftrightarrow@	amstex.tex
\underline		*primitive
\underline@		amstex.tex
\underrightarrow	amstex.tex
\underrightarrow@	amstex.tex
\underscore		amstex.tex
\underset		amstex.tex
\undersetbrace		amstex.tex
\unhbox			*primitive
\unhcopy		*primitive
\unkern			*primitive
\unpenalty		*primitive
\unskip			*primitive
\unvbox			*primitive
\unvcopy		*primitive
\uparrow		plain.tex
\Uparrow		plain.tex
\upbracefill		plain.tex
\updownarrow		plain.tex
\Updownarrow		plain.tex
\uplus			plain.tex
\uppercase		*primitive
\uproot			amstex.tex
\uproot@		amstex.tex
\upsilon		plain.tex
\Upsilon		plain.tex
\us@false		plain.tex
\us@true		plain.tex
\usualspace		amsppt.sty
\usualspace@		amsppt.sty
\v			plain.tex
\v@false		plain.tex
\v@true			plain.tex
\vadjust		*primitive
\valign			*primitive
\varDelta		amstex.tex
\varepsilon		plain.tex
\varGamma		amstex.tex
\varinjlim		amstex.tex
\varLambda		amstex.tex
\varliminf		amstex.tex
\varlimsup		amstex.tex
\varOmega		amstex.tex
\varphi			plain.tex
\varPhi			amstex.tex
\varpi			plain.tex
\varPi			amstex.tex
\varprojlim		amstex.tex
\varPsi			amstex.tex
\varrho			plain.tex
\varsigma		plain.tex
\varSigma		amstex.tex
\vartheta		plain.tex
\varTheta		amstex.tex
\varUpsilon		amstex.tex
\varXi			amstex.tex
\vbadness		*primitive
\vbox			*primitive
\vcenter		*primitive
\vcorrection		amstex.tex
\vdash			plain.tex
\vdots			plain.tex
\vec			plain.tex
\Vec			amstex.tex
\vee			plain.tex
\Vert			plain.tex
\vert			plain.tex
\vfil			*primitive
\vfill			*primitive
\vfilneg		*primitive
\vfootnote		plain.tex
\vfuzz			*primitive
\vgl@			plain.tex
\vglue			plain.tex
\vmatrix		amstex.tex
\Vmatrix		amstex.tex
\vmodeerr@		amstex.tex
\vnonvmode@		amstex.tex
\voffset		*primitive
\voidb@x		plain.tex
\vol			amsppt.sty
\vol@false		amsppt.sty
\volbox@		amsppt.sty
\vphantom		plain.tex
\vrule			*primitive
\vsize			*primitive
\vskip			*primitive
\vspace			amstex.tex
\vspace@		amstex.tex
\vsplit			*primitive
\vss			*primitive
\vtop			*primitive
\W@			amstex.tex
\wd			*primitive
\wedge			plain.tex
\widehat		plain.tex
\widetilde		plain.tex
\widowpenalty		*primitive
\wlog			plain.tex
\wp			plain.tex
\wr			plain.tex
\write			*primitive
\xalignat		amstex.tex
\xalignat@		amstex.tex
\xat@false		amstex.tex
\xat@true		amstex.tex
\xdef			*primitive
\xi			plain.tex
\Xi			plain.tex
\xleaders		*primitive
\xspaceskip		*primitive
\xxalignat		amstex.tex
\xxalignat@		amstex.tex
\xxattag@		amstex.tex
\year			*primitive
\yr			amsppt.sty
\yr@false		amsppt.sty
\yrbox@ 		amsppt.sty
\z@			plain.tex
\z@skip			plain.tex
\zerocr@false		amstex.tex
\zerocr@true		amstex.tex
\zeta			plain.tex
\[			plain.tex
\]			plain.tex
\^			plain.tex
\^^I			plain.tex
\^^J			amstex.tex
\^^M			plain.tex
\_			plain.tex
\`			plain.tex
\{			plain.tex
\|			plain.tex
\}			plain.tex
\~			plain.tex
